,name,role,team,minutes_played,matchesPlayed,matchesPlayed,matchesPlayed,matchesPlayed,matchesPlayedTeam,matchesPlayedTeam,matchesPlayedTeam,matchesPlayedTeam,mapsPlayed,mapsPlayed,mapsPlayed,mapsPlayed,mapsPlayedTeam,mapsPlayedTeam,mapsPlayedTeam,mapsPlayedTeam,points10m,totalPoints,eliminations_avg_per_10m,healing_avg_per_10m,hero_damage_avg_per_10m,ultimates_earned_avg_per_10m,deaths_avg_per_10m,final_blows_avg_per_10m,player,fantasyTeam
0,ADO,offense,WAS,180.9036363263925,4,4,4,4,4,4,4,4,16,16,16,16,17,17,17,17,17.77393760078409,321.5369943820238,9.120878018300383,8807.732276629293,4405.766315004605,4.422243887660792,5.030302422214151,2.211121943830396,FreeAgent,FreeAgent
1,COREY,offense,WAS,195.4708970596393,4,4,4,4,4,4,4,4,17,17,17,17,17,17,17,17,15.62004777777366,305.32647512358426,11.715298975178428,0.0,9762.398290184447,4.450790440351629,5.729753210567615,3.8368883106479563,FreeAgent,FreeAgent
2,FAHZIX,support,WAS,171.5108929981788,4,4,4,4,4,4,4,4,14,14,14,14,17,17,17,17,15.506629377291397,265.95558518910406,7.987830837161739,7065.576173472556,4447.137785237972,3.265098736358083,4.431205427914541,1.1661066915564582,FreeAgent,FreeAgent
3,GIDO,support,WAS,195.43843786418438,4,4,4,4,4,4,4,4,17,17,17,17,17,17,17,17,22.384558453228628,437.48031363785265,8.851892283350244,10251.828374476408,7706.783937077099,4.809698697311694,5.474869793748417,2.2001813189830086,GIDO,Bobble
4,HYEONU,support,WAS,23.959983402490614,2,2,2,2,4,4,4,4,3,3,3,3,17,17,17,17,14.386841531338927,34.47084843051434,6.677800953041069,7475.306214478678,3572.634840339715,3.756263036085601,6.260438393476001,0.8347251191301336,FreeAgent,FreeAgent
5,JANUS,tank,WAS,195.43839733302593,4,4,4,4,4,4,4,4,17,17,17,17,17,17,17,17,10.875247934959063,212.5441027007699,9.517065353491262,0.0,6116.715258213431,3.7351923161551728,6.85638041595607,3.1723551178304206,JANUS,MattyIce
6,SANSAM,tank,WAS,195.4708970596393,4,4,4,4,4,4,4,4,17,17,17,17,17,17,17,17,11.335059521790326,221.5674252948761,11.254872377900671,10.61334498363464,5697.009987856355,2.455608518814692,4.604265972777547,3.325303202561562,FreeAgent,FreeAgent
7,STRATUS,offense,WAS,14.583496296405793,1,1,1,1,4,4,4,4,1,1,1,1,17,17,17,17,14.593473730373068,21.28238700985909,6.857066232097287,8350.620592307741,2814.3200220166823,3.4285331160486434,6.171359608887558,0.6857066232097286,FreeAgent,FreeAgent
8,ADORA,offense,HZS,46.52594196597735,2,2,2,2,6,6,6,6,3,3,3,3,25,25,25,25,20.28811649194714,94.39237305033207,14.18563433885192,8900.980565242058,4294.318757279122,4.728544779617307,4.29867707237937,2.794140097046591,FreeAgent,FreeAgent
9,BAZZI,offense,HZS,268.42527428170047,6,6,6,6,6,6,6,6,22,22,22,22,25,25,25,25,21.530527758440503,577.9337818989158,16.5036620037162,7775.017480048084,5503.679276534318,4.731298136505548,5.774418985498897,4.02346613183149,BAZZI,Not another
10,BEBE,support,HZS,247.69173597594101,6,6,6,6,6,6,6,6,20,20,20,20,25,25,25,25,26.056761819166873,645.4044568901062,15.341650317994883,10387.41138735941,7998.525272810022,5.167713791324592,4.319885747435402,2.9472117716148065,BEBE,Jyeran
11,GODSB,offense,HZS,314.9512096951405,6,6,6,6,6,6,6,6,25,25,25,25,25,25,25,25,20.108937603489508,633.3334223903121,18.70130934153665,71.93749244596728,10686.345440275214,4.413382000804066,4.413382000804066,6.064431382399831,GODSB,Dragonbeard
12,GUXUE,tank,HZS,127.52039804855983,6,6,6,6,6,6,6,6,10,10,10,10,25,25,25,25,16.367987760606557,208.72523144865033,15.605346520657871,0.0,8565.314500277622,4.705129604218453,5.489317871588196,4.548291950744505,FreeAgent,FreeAgent
13,IDK,support,HZS,314.96743777394295,6,6,6,6,6,6,6,6,25,25,25,25,25,25,25,25,16.440424685653667,517.8198439155817,12.921970692478702,5487.169912911317,4492.269426503,3.111432746591923,3.7146697076658675,2.0637053931477043,FreeAgent,FreeAgent
14,NOSMITE,tank,HZS,187.4470412671566,5,5,5,5,6,6,6,6,15,15,15,15,25,25,25,25,12.916698900434081,242.11969918251037,13.603842358683291,0.0,6114.777721092437,3.7877364998686813,6.188414563165733,4.21452371112149,FreeAgent,FreeAgent
15,REVENGE,support,HZS,67.2595061391592,5,5,5,5,6,6,6,6,5,5,5,5,25,25,25,25,19.474332835268843,130.98340088897945,8.325960628396022,8786.595401297007,6524.757119773825,4.46033605092644,4.75769178765487,1.9328122887347907,FreeAgent,FreeAgent
16,RIA,tank,HZS,314.95114134550096,6,6,6,6,6,6,6,6,25,25,25,25,25,25,25,25,15.644212489502209,492.7162579020262,17.526528008179426,0.0,6880.948485412496,3.0163408709729085,4.3816320020448565,5.429413567751236,RIA,Cougum
17,AGILITIES,offense,VAL,288.43149889608225,5,5,5,5,5,5,5,5,22,22,22,22,22,22,22,22,24.306305640911535,701.0704168634413,15.774976094546801,10183.339839297747,6235.477754340392,5.547244340939535,5.373892955285174,3.224335773171105,AGILITIES,MattyIce
18,CUSTA,support,VAL,88.59369861880938,2,2,2,2,5,5,5,5,6,6,6,6,22,22,22,22,18.00294029962088,159.49470671570305,14.447980160614296,5851.685290804381,4927.26492850935,3.4991201951487745,4.514993800191967,1.9188723650815858,CUSTA,Overdrive
19,FATE,tank,VAL,288.39905058145524,5,5,5,5,5,5,5,5,22,22,22,22,22,22,22,22,15.168172823824275,437.4486641446352,14.14706460293165,0.0,8094.640522358451,4.715688200977216,6.553419632240397,3.8835079302165316,FATE,Cougum
20,IZAYAKI,support,VAL,288.41526490449905,5,5,5,5,5,5,5,5,22,22,22,22,22,22,22,22,26.48287292819488,763.8064811017513,14.111597045141389,11129.31442033003,8297.759985294155,5.374195434881855,5.027473148760446,3.813945147335511,IZAYAKI,Cougum
21,KARIV,offense,VAL,260.0093217164278,5,5,5,5,5,5,5,5,20,20,20,20,22,22,22,22,19.918153802058427,517.89056599167,17.730133556625994,44.875841158457774,11008.211182586972,4.999820742649412,4.845980104414046,5.384422338237829,KARIV,MattyIce
