,name,role,teamName,matchesPlayed,matchesPlayedTeam,mapsPlayed,mapsPlayedTeam,points,eliminations,damage,healing,player,fantasyTeam
0,ADO,offense,Washington Justice,3,3,12,13,257.89690302836897,123,80595.17487668991,115801.72815167904,FreeAgent,FreeAgent
3,ADORA,offense,Hangzhou Spark,2,5,3,21,104.51040453684331,66,30097.754014968872,41412.65052187443,FreeAgent,FreeAgent
5,AGILITIES,offense,Los Angeles Valiant,4,4,18,18,645.592651941061,382,219213.08201277256,235379.56992828846,AGILITIES,MattyIce
8,AID,support,Toronto Defiant,3,4,13,17,624.7151513958871,327,245758.3380431831,215456.81335270405,AID,Cougum
10,AIMGOD,support,Boston Uprising,4,4,17,17,740.3703249223231,341,318772.0248981714,251098.3000241518,AIMGOD,Not another
13,ANAMO,support,New York Excelsior,5,5,19,21,516.2277211875916,405,188561.09096336365,125166.6302242279,ANAMO,Overdrive
16,APPLY,offense,Florida Mayhem,1,4,4,18,80.46066633391379,43,30018.087673425674,28942.57866048813,FreeAgent,FreeAgent
17,ARK,support,New York Excelsior,2,5,2,21,47.566396005153656,29,18166.36337518692,14900.032629966736,FreeAgent,FreeAgent
19,ARCHITECT,offense,San Francisco Shock,4,4,13,17,438.3641979265808,284,138270.12591034174,158094.07201623917,FreeAgent,FreeAgent
22,AXXIOM,tank,Boston Uprising,3,4,13,17,338.2919967219829,245,215791.99672198296,0.0,AXXIOM,Not another
24,BEBE,support,Hangzhou Spark,5,5,16,21,609.8700783203244,294,258543.52715164423,204326.5511686802,BEBE,Jyeran
27,BIRDRING,offense,London Spitfire,3,5,7,21,206.26356136828662,145,133653.31137019396,110.24999809265137,FreeAgent,FreeAgent
29,BUMPER,tank,Vancouver Titans,4,4,17,17,429.6841280348301,355,252184.1280348301,0.0,BUMPER,Dragonbeard
32,BACONJACK,offense,Chengdu Hunters,4,4,7,18,141.95041590368746,113,85105.10090827942,345.31499540805817,FreeAgent,FreeAgent
35,BAZZI,offense,Hangzhou Spark,5,5,18,21,498.64821131354574,339,168519.94079703093,160628.27051651478,BAZZI,Not another
38,BDOSIN,support,London Spitfire,5,5,21,21,779.9448069223762,410,363058.1897959709,211886.61712640524,BDOSIN,MattyIce
41,BENBEST,tank,Paris Eternal,2,2,8,8,208.20442311769722,181,117704.42311769724,0.0,FreeAgent,FreeAgent
43,BIGG00SE,support,Los Angeles Gladiators,4,4,17,17,472.66735154175757,339,188681.41568350792,114485.93585824966,BIGG00SE,MattyIce
46,BOINK,support,Houston Outlaws,4,4,18,18,423.8011694133281,272,140732.98696637154,147068.18244695663,BOINK,PopeRonPaul
48,BOOMBOX,support,Philadelphia Fusion,3,5,13,21,545.7999588702917,325,237365.1214413643,145934.83742892742,BOOMBOX,Cougum
50,CHARA,support,Guangzhou Charge,4,4,19,19,461.4783696000576,308,187651.00962734222,119827.35997271538,FreeAgent,FreeAgent
53,CHOIHYOBIN,tank,San Francisco Shock,4,4,12,17,346.809377315253,298,197519.3120701015,290.0652451515198,CHOIHYOBIN,PopeRonPaul
56,CLOSER,support,Dallas Fuel,4,4,16,16,363.7212246252298,245,136533.3942962885,104687.83032894135,CLOSER,Overdrive
58,COMA,support,Shanghai Dragons,4,4,16,16,342.87991780483725,243,111127.49714970589,110252.42065513134,FreeAgent,FreeAgent
61,COLOURHEX,offense,Boston Uprising,2,4,8,17,285.35827509230376,193,188695.93581312895,162.3392791748047,FreeAgent,FreeAgent
63,COREY,offense,Washington Justice,3,3,13,13,332.3682968596816,176,244368.2968596816,0.0,FreeAgent,FreeAgent
66,CUSTA,support,Los Angeles Valiant,2,4,6,18,192.98956896078585,128,77147.32465422153,51842.24430656433,CUSTA,Overdrive
67,DDING,offense,Shanghai Dragons,4,4,14,16,400.5126122858524,341,204035.96092426777,25976.651361584663,FreeAgent,FreeAgent
70,DACO,tank,Atlanta Reign,3,3,10,13,325.16787567320466,289,180660.14067354798,7.734999656677246,DACO,Dragonbeard
72,DANTEH,offense,Houston Outlaws,4,4,18,18,571.4240424711704,422,348373.43388044834,12050.608590722084,DANTEH,PopeRonPaul
74,DECAY,offense,Los Angeles Gladiators,1,4,4,17,170.08354896339776,109,115583.54896339774,0.0,FreeAgent,FreeAgent
75,DOGMAN,support,Atlanta Reign,3,3,8,13,291.1793559090495,194,115561.78560906649,78617.57029998302,FreeAgent,FreeAgent
77,EFFECT,offense,Dallas Fuel,4,4,8,16,189.50791512835025,120,129429.98107504845,77.93405330181122,FreeAgent,FreeAgent
79,EILEEN,offense,Guangzhou Charge,4,4,11,19,254.2751774276495,218,106914.1247370243,38361.05269062519,FreeAgent,FreeAgent
82,ELK,support,Philadelphia Fusion,2,5,8,21,270.91354356962444,136,120122.6800969243,82790.86347270012,FreeAgent,FreeAgent
83,ELSA,tank,Chengdu Hunters,4,4,18,18,508.8080826595724,411,301909.213776201,1398.8688833713531,ELSA,Jyeran
86,ENVY,tank,Toronto Defiant,4,4,17,17,600.455595517993,469,360830.1432722807,5125.45224571228,ENVY,MattyIce
89,ERSTER,offense,Atlanta Reign,3,3,11,13,380.6616346679926,309,142777.41793048382,83384.21673750877,FreeAgent,FreeAgent
91,FAHZIX,support,Washington Justice,3,3,10,13,243.18351307535173,105,103651.84095525742,87031.6721200943,FreeAgent,FreeAgent
