,name,role,teamName,abbrev,contest,game,tag,hero,points,eliminations,damage,healing,deaths,matchesPlayed,matchesPlayedTeam,totalMapsPlayed,totalTeamMapsPlayed,player,fantasyTeam,percentPlayedTotal,playedMaps,totalMaps,percentPlay,main
0,TVIQ,offense,Florida Mayhem,FLA,Houston Outlaws vs. Florida Mayhem,2,S1W3,brigitte,10.415988759398461,7,2754.880789756775,4161.1079696416855,3,5,5,16,22,TVIQ,Bobble,0.7272727272727273,3,9,0.35,mei
1,TVIQ,offense,Florida Mayhem,FLA,Houston Outlaws vs. Florida Mayhem,2,S1W3,hanzo,0.125,0,125.0,0.0,0,5,5,16,22,TVIQ,Bobble,0.7272727272727273,3,9,0.35,mei
2,TVIQ,offense,Florida Mayhem,FLA,Houston Outlaws vs. Florida Mayhem,2,S1W3,mei,36.192082819432024,34,18197.026783436537,995.0560359954834,6,5,5,16,22,TVIQ,Bobble,0.7272727272727273,3,9,0.35,mei
3,TVIQ,offense,Florida Mayhem,FLA,Houston Outlaws vs. Florida Mayhem,4,S1W3,brigitte,19.173729764580727,12,4732.6549644470215,8441.074800133705,2,5,5,16,22,TVIQ,Bobble,0.7272727272727273,3,9,0.35,mei
4,TVIQ,offense,Florida Mayhem,FLA,Houston Outlaws vs. Florida Mayhem,4,S1W3,hanzo,0.247,0,247.0,0.0,0,5,5,16,22,TVIQ,Bobble,0.7272727272727273,3,9,0.35,mei
5,TVIQ,offense,Florida Mayhem,FLA,Houston Outlaws vs. Florida Mayhem,4,S1W3,mei,14.75002395528555,17,5937.7162455916405,312.3077096939087,2,5,5,16,22,TVIQ,Bobble,0.7272727272727273,3,9,0.35,mei
6,TVIQ,offense,Florida Mayhem,FLA,Guangzhou Charge vs. Florida Mayhem,4,S1W3,brigitte,27.716284107089045,22,5699.522762298584,11016.761344790459,1,5,5,16,22,TVIQ,Bobble,0.7272727272727273,3,9,0.35,mei
7,TVIQ,offense,Florida Mayhem,FLA,Guangzhou Charge vs. Florida Mayhem,4,S1W3,mei,15.162066685497761,10,9488.010342895985,674.0563426017761,4,5,5,16,22,TVIQ,Bobble,0.7272727272727273,3,9,0.35,mei
8,TVIQ,offense,Florida Mayhem,FLA,Philadelphia Fusion vs. Florida Mayhem,1,S1W2,brigitte,25.513469503283503,24,6886.710998535156,6626.758504748344,3,5,5,16,22,TVIQ,Bobble,0.7272727272727273,9,9,1.0,brigitte
9,TVIQ,offense,Florida Mayhem,FLA,Philadelphia Fusion vs. Florida Mayhem,1,S1W2,tracer,1.087263926267624,1,587.2639262676239,0.0,1,5,5,16,22,TVIQ,Bobble,0.7272727272727273,9,9,1.0,brigitte
10,TVIQ,offense,Florida Mayhem,FLA,Philadelphia Fusion vs. Florida Mayhem,2,S1W2,brigitte,35.64148142576218,26,10472.334134101868,12169.147291660309,4,5,5,16,22,TVIQ,Bobble,0.7272727272727273,9,9,1.0,brigitte
11,TVIQ,offense,Florida Mayhem,FLA,Philadelphia Fusion vs. Florida Mayhem,2,S1W2,hanzo,0.11206249237060546,0,112.06249237060547,0.0,0,5,5,16,22,TVIQ,Bobble,0.7272727272727273,9,9,1.0,brigitte
12,TVIQ,offense,Florida Mayhem,FLA,Philadelphia Fusion vs. Florida Mayhem,2,S1W2,pharah,15.8938018989563,11,10393.801898956299,0.0,2,5,5,16,22,TVIQ,Bobble,0.7272727272727273,9,9,1.0,brigitte
13,TVIQ,offense,Florida Mayhem,FLA,Philadelphia Fusion vs. Florida Mayhem,2,S1W2,wreckingball,0.3638061790466309,0,363.80617904663086,0.0,1,5,5,16,22,TVIQ,Bobble,0.7272727272727273,9,9,1.0,brigitte
14,TVIQ,offense,Florida Mayhem,FLA,Philadelphia Fusion vs. Florida Mayhem,3,S1W2,brigitte,40.2129371765852,26,10877.509949684143,16335.427226901054,11,5,5,16,22,TVIQ,Bobble,0.7272727272727273,9,9,1.0,brigitte
