,id,startDate,games,date
276,21446,1566716400000,0,2019-08-25 07:00:00
277,21513,1566716400000,0,2019-08-25 07:00:00
278,21514,1566716400000,0,2019-08-25 07:00:00
279,21515,1566716400000,0,2019-08-25 07:00:00
272,21485,1566630000000,0,2019-08-24 07:00:00
273,21494,1566630000000,0,2019-08-24 07:00:00
274,21521,1566630000000,0,2019-08-24 07:00:00
275,21419,1566630000000,0,2019-08-24 07:00:00
271,21512,1566171000000,0,2019-08-18 23:30:00
270,21460,1566165600000,0,2019-08-18 22:00:00
269,21504,1566160200000,0,2019-08-18 20:30:00
268,21465,1566154800000,0,2019-08-18 19:00:00
267,21459,1566084600000,0,2019-08-17 23:30:00
266,21428,1566079200000,0,2019-08-17 22:00:00
265,21503,1566073800000,0,2019-08-17 20:30:00
264,21493,1566068400000,0,2019-08-17 19:00:00
263,21484,1566012600000,0,2019-08-17 03:30:00
262,21464,1566007200000,0,2019-08-17 02:00:00
261,21458,1566001800000,0,2019-08-17 00:30:00
260,21427,1565926200000,0,2019-08-16 03:30:00
259,21457,1565920800000,0,2019-08-16 02:00:00
258,21410,1565915400000,0,2019-08-16 00:30:00
257,21437,1565566200000,0,2019-08-11 23:30:00
256,21502,1565560800000,0,2019-08-11 22:00:00
255,21492,1565555400000,0,2019-08-11 20:30:00
254,21483,1565550000000,0,2019-08-11 19:00:00
253,21463,1565479800000,0,2019-08-10 23:30:00
252,21456,1565474400000,0,2019-08-10 22:00:00
251,21426,1565469000000,0,2019-08-10 20:30:00
250,21474,1565463600000,0,2019-08-10 19:00:00
249,21511,1565407800000,0,2019-08-10 03:30:00
248,21445,1565402400000,0,2019-08-10 02:00:00
247,21418,1565397000000,0,2019-08-10 00:30:00
246,21409,1565391600000,0,2019-08-09 23:00:00
245,21436,1565321400000,0,2019-08-09 03:30:00
244,21473,1565316000000,0,2019-08-09 02:00:00
243,21360,1565310600000,0,2019-08-09 00:30:00
242,21444,1565305200000,0,2019-08-08 23:00:00
241,21417,1564961400000,0,2019-08-04 23:30:00
240,21408,1564956000000,0,2019-08-04 22:00:00
239,21435,1564950600000,0,2019-08-04 20:30:00
238,21501,1564945200000,0,2019-08-04 19:00:00
237,21491,1564875000000,0,2019-08-03 23:30:00
236,21455,1564869600000,0,2019-08-03 22:00:00
235,21407,1564864200000,0,2019-08-03 20:30:00
234,21434,1564858800000,0,2019-08-03 19:00:00
233,21390,1564803000000,0,2019-08-03 03:30:00
232,21400,1564797600000,0,2019-08-03 02:00:00
