id,stage,week,tag
21211,1,1,S1W1
21221,1,1,S1W1
21231,1,1,S1W1
21176,1,1,S1W1
21177,1,1,S1W1
21241,1,1,S1W1
21126,1,1,S1W1
21212,1,1,S1W1
21209,1,1,S1W1
21127,1,1,S1W1
21251,1,1,S1W1
21222,1,1,S1W1
21213,1,1,S1W1
21261,1,1,S1W1
21128,1,1,S1W1
21271,1,1,S1W1
21210,1,2,S1W2
21232,1,2,S1W2
21272,1,2,S1W2
21233,1,2,S1W2
21178,1,2,S1W2
21242,1,2,S1W2
21281,1,2,S1W2
21179,1,2,S1W2
21243,1,2,S1W2
21282,1,2,S1W2
21291,1,2,S1W2
21234,1,2,S1W2
21301,1,2,S1W2
21235,1,2,S1W2
21180,1,2,S1W2
21244,1,2,S1W2
21252,1,3,S1W3
21223,1,3,S1W3
21214,1,3,S1W3
21262,1,3,S1W3
21129,1,3,S1W3
21253,1,3,S1W3
21224,1,3,S1W3
21215,1,3,S1W3
21263,1,3,S1W3
21130,1,3,S1W3
21273,1,3,S1W3
21245,1,3,S1W3
21302,1,3,S1W3
21254,1,3,S1W3
21225,1,3,S1W3
21264,1,3,S1W3
21292,1,4,S1W4
21246,1,4,S1W4
21283,1,4,S1W4
21303,1,4,S1W4
21255,1,4,S1W4
21226,1,4,S1W4
21216,1,4,S1W4
21265,1,4,S1W4
21311,1,4,S1W4
21284,1,4,S1W4
21236,1,4,S1W4
21266,1,4,S1W4
21312,1,4,S1W4
21274,1,4,S1W4
21227,1,5,S1W5
21217,1,5,S1W5
21267,1,5,S1W5
21304,1,5,S1W5
21256,1,5,S1W5
21228,1,5,S1W5
21218,1,5,S1W5
21268,1,5,S1W5
21313,2,1,S2W1
21293,2,1,S2W1
21219,2,1,S2W1
21294,2,1,S2W1
21237,2,1,S2W1
21275,2,1,S2W1
21238,2,1,S2W1
21321,2,1,S2W1
21247,2,1,S2W1
21305,2,1,S2W1
21229,2,1,S2W1
21220,2,1,S2W1
21269,2,1,S2W1
21276,2,1,S2W1
21295,2,1,S2W1
21239,2,1,S2W1
21257,2,2,S2W2
21230,2,2,S2W2
21248,2,2,S2W2
21277,2,2,S2W2
21296,2,2,S2W2
21322,2,2,S2W2
21331,2,2,S2W2
21258,2,2,S2W2
21332,2,2,S2W2
21341,2,2,S2W2
21270,2,2,S2W2
21278,2,2,S2W2
21297,2,2,S2W2
21240,2,2,S2W2
21323,2,2,S2W2
21249,2,2,S2W2
21285,2,3,S2W3
21306,2,3,S2W3
21259,2,3,S2W3
21286,2,3,S2W3
21324,2,3,S2W3
21250,2,3,S2W3
21287,2,3,S2W3
21260,2,3,S2W3
21342,2,3,S2W3
21279,2,3,S2W3
21325,2,3,S2W3
21333,2,3,S2W3
21288,2,3,S2W3
21280,2,3,S2W3
21351,2,3,S2W3
21343,2,3,S2W3
21352,2,4,S2W4
21344,2,4,S2W4
21334,2,4,S2W4
21345,2,4,S2W4
21361,2,4,S2W4
21289,2,4,S2W4
21362,2,4,S2W4
21314,2,4,S2W4
21371,2,5,S2W5
21298,2,5,S2W5
21381,2,5,S2W5
21353,2,5,S2W5
21335,2,5,S2W5
21346,2,5,S2W5
21347,2,5,S2W5
21363,2,5,S2W5
21315,2,5,S2W5
21372,2,5,S2W5
21299,2,5,S2W5
21364,2,5,S2W5
21316,2,5,S2W5
21373,2,5,S2W5
21300,3,1,S3W1
21348,3,1,S3W1
21365,3,1,S3W1
21374,3,1,S3W1
21391,3,1,S3W1
21382,3,1,S3W1
21354,3,1,S3W1
21336,3,1,S3W1
21349,3,1,S3W1
21366,3,1,S3W1
21317,3,1,S3W1
21375,3,1,S3W1
21350,3,1,S3W1
21367,3,1,S3W1
21318,3,1,S3W1
21376,3,1,S3W1
21392,3,2,S3W2
21383,3,2,S3W2
21326,3,2,S3W2
21401,3,2,S3W2
21290,3,2,S3W2
21319,3,2,S3W2
21377,3,2,S3W2
21393,3,2,S3W2
21384,3,2,S3W2
21327,3,2,S3W2
21402,3,2,S3W2
21411,3,2,S3W2
21307,3,2,S3W2
21355,3,2,S3W2
21337,3,2,S3W2
21368,3,2,S3W2
21378,3,3,S3W3
21394,3,3,S3W3
21385,3,3,S3W3
21328,3,3,S3W3
21403,3,3,S3W3
21412,3,3,S3W3
21308,3,3,S3W3
21329,3,3,S3W3
21404,3,3,S3W3
21413,3,3,S3W3
21369,3,3,S3W3
21320,3,3,S3W3
21379,3,3,S3W3
21395,3,3,S3W3
21386,3,3,S3W3
21330,3,3,S3W3
21309,3,4,S3W4
21356,3,4,S3W4
21338,3,4,S3W4
21421,3,4,S3W4
21370,3,4,S3W4
21431,3,4,S3W4
21405,3,4,S3W4
21310,3,4,S3W4
21414,3,4,S3W4
21441,3,4,S3W4
21357,3,4,S3W4
21339,3,4,S3W4
21422,3,4,S3W4
21451,3,4,S3W4
21461,3,5,S3W5
21380,3,5,S3W5
21396,3,5,S3W5
21387,3,5,S3W5
21432,3,5,S3W5
21406,3,5,S3W5
21415,3,5,S3W5
21442,3,5,S3W5
21358,4,1,S4W1
21423,4,1,S4W1
21340,4,1,S4W1
21424,4,1,S4W1
