Player,Fantasy Team,
MEKO,Bobble,
NEKO,Bobble,
GIDO,Bobble,
POKO,Bobble,
EQO,Bobble,
SNILLO,Bobble,
SADO,Bobble,
BAYBAY,Bobble,
HAGOPEUN,Bobble,
TVIQ,Bobble,
VOID,Bobble,
BUNNY,Bobble,
SHAZ,Jyeran,
SLEEPY,Jyeran,
DIEM,Jyeran,
NOTE,Jyeran,
BISCHU,Jyeran,
FLETA,Jyeran,
SUREFOUR,Jyeran,
FURY,Jyeran,
HARRYHOOK,Jyeran,
BIRDRING,Jyeran,
SUPER,Jyeran,
TWILIGHT,Jyeran,
SOON,Not Another...,
KELLEX,Not Another...,
JJANU,Not Another...,
RAPEL,Not Another...,
BAZZI,Not Another...,
AIMGOD,Not Another...,
FUSIONS,Not Another...,
FISSURE,Not Another...,
REVENGE,Not Another...,
HOOREG,Not Another...,
EFFECT,Not Another...,
AXXIOM,Not Another...,
JJONAK,Dragonbeard,
PROFIT,Dragonbeard,
RYUJEHONG,Dragonbeard,
GESTURE,Dragonbeard,
LIBERO,Dragonbeard,
ZUNBA,Dragonbeard,
NEVIX,Dragonbeard,
ARK,Dragonbeard,
GEGURI,Dragonbeard,
HYDRATION,Dragonbeard,
SINATRAA,Dragonbeard,
BUMPER,Dragonbeard,
BOOMBOX,Cougum,
UNKOE,Cougum,
SAEBYEOLBE,Cougum,
CARPE,Cougum,
SPACE,Cougum,
MANO,Cougum,
NOSMITE,Cougum,
KRYSTAL,Cougum,
FATE,Cougum,
DECAY,Cougum,
BEBE,Cougum,
SLIME,Cougum,
RAWKUS,PopeRonPaul,
LINKZR,PopeRonPaul,
MUMA,PopeRonPaul,
JAKE,PopeRonPaul,
BOINK,PopeRonPaul,
SPREE,PopeRonPaul,
BANI,PopeRonPaul,
DANTEH,PopeRonPaul,
ARHAN,PopeRonPaul,
OGE,PopeRonPaul,
MOTH,PopeRonPaul,
ZACHAREE,PopeRonPaul,
KRILLIN,Overdrive,
COOLMATT,Overdrive,
AKM,Overdrive,
GAMSU,Overdrive,
TOBI,Overdrive,
TAIMOU,Overdrive,
ANAMO,Overdrive,
DIYA,Overdrive,
CUSTA,Overdrive,
RASCAL,Overdrive,
HOTBA,Overdrive,
CLOSER,Overdrive,
BDOSIN,MattyIce,
NEPTUNO,MattyIce,
STRIKER,MattyIce,
MICKIE,MattyIce,
KARIV,MattyIce,
ENVY,MattyIce,
BIGG00SE,MattyIce,
MUNCHKIN,MattyIce,
JANUS,MattyIce,
FRAGI,MattyIce,
AGILITIES,MattyIce,
NUS,MattyIce,
